dateday,heat,ac,energy_cluster,home
2020-11-08T07:00:00Z,0,0.6944444444444444,ac,001
2020-11-09T07:00:00Z,0,0.1388888888888889,ac,001
2020-11-10T07:00:00Z,0,0.1388888888888889,ac,001
2020-11-11T07:00:00Z,0,0.1388888888888889,ac,001
2020-11-15T07:00:00Z,0,1.0416666666666667,ac,001
2020-11-28T07:00:00Z,0,0.1388888888888889,ac,001
2020-12-06T07:00:00Z,32.56944444444444,2.361111111111111,heat,001
2020-12-07T07:00:00Z,31.319444444444443,0.1388888888888889,heat,001
2020-12-11T07:00:00Z,45.90277777777778,0.1388888888888889,heat,001
2020-12-12T07:00:00Z,53.75,0.1388888888888889,heat,001
2020-12-13T07:00:00Z,46.80555555555556,0.2777777777777778,heat,001
2020-12-14T07:00:00Z,48.541666666666664,0.20833333333333334,heat,001
2020-12-15T07:00:00Z,38.68055555555556,0.1388888888888889,heat,001
2020-12-16T07:00:00Z,37.986111111111114,0.1388888888888889,heat,001
2020-12-23T07:00:00Z,0,0.06944444444444445,ac,001
2020-12-24T07:00:00Z,0,0.06944444444444445,ac,001
2020-12-25T07:00:00Z,29.65277777777778,0.1388888888888889,heat,001
2020-12-31T07:00:00Z,27.430555555555557,0.3472222222222222,heat,001
2021-01-02T07:00:00Z,15,0.6944444444444444,heat,001
2021-01-10T07:00:00Z,36.041666666666664,1.0416666666666667,heat,001
2021-01-11T07:00:00Z,38.611111111111114,0.3472222222222222,heat,001
2021-01-18T07:00:00Z,34.791666666666664,0.06944444444444445,heat,001
2021-01-19T07:00:00Z,42.013888888888886,0.06944444444444445,heat,001
2021-01-20T07:00:00Z,36.111111111111114,1.9444444444444444,heat,001
2021-01-27T07:00:00Z,50.69444444444444,0.20833333333333334,heat,001
2021-01-29T07:00:00Z,29.23611111111111,0.5555555555555556,heat,001
2021-01-30T07:00:00Z,25,0.7638888888888888,heat,001
2021-01-31T07:00:00Z,31.875,1.3888888888888888,heat,001
2021-02-01T07:00:00Z,31.041666666666668,0.06944444444444445,heat,001
2021-02-05T07:00:00Z,41.80555555555556,0.1388888888888889,heat,001
2021-02-06T07:00:00Z,43.958333333333336,1.875,heat,001
2021-02-07T07:00:00Z,42.361111111111114,0.1388888888888889,heat,001
2021-02-08T07:00:00Z,53.81944444444444,0.1388888888888889,heat,001
2021-02-09T07:00:00Z,54.375,0.1388888888888889,heat,001
2021-02-10T07:00:00Z,58.81944444444444,0.1388888888888889,heat,001
2021-02-11T07:00:00Z,61.111111111111114,0.1388888888888889,heat,001
2021-02-12T07:00:00Z,72.5,0.1388888888888889,heat,001
2021-02-13T07:00:00Z,68.125,0.1388888888888889,heat,001
2021-02-14T07:00:00Z,53.68055555555556,0.20833333333333334,heat,001
2021-02-15T07:00:00Z,50.27777777777778,0.9722222222222222,heat,001
2021-02-16T07:00:00Z,41.59722222222222,0.1388888888888889,heat,001
2021-02-17T07:00:00Z,38.888888888888886,0.1388888888888889,heat,001
2021-02-20T07:00:00Z,32.013888888888886,0.1388888888888889,heat,001
2021-03-05T07:00:00Z,21.11111111111111,0.06944444444444445,heat,001
2021-03-06T07:00:00Z,21.59722222222222,0.625,heat,001
2021-03-08T07:00:00Z,21.11111111111111,0.2777777777777778,heat,001
2021-03-09T07:00:00Z,20.97222222222222,0.7638888888888888,heat,001
2021-03-11T07:00:00Z,31.319444444444443,0.06944444444444445,heat,001
2021-03-15T06:00:00Z,30.694444444444443,0.06944444444444445,heat,001
2021-03-16T06:00:00Z,24.583333333333332,0.06944444444444445,heat,001
2021-03-21T06:00:00Z,29.86111111111111,0.1388888888888889,heat,001
2021-03-24T06:00:00Z,30.13888888888889,0.06944444444444445,heat,001
2021-04-04T06:00:00Z,9.722222222222221,5.555555555555555,heat,001
2021-04-05T06:00:00Z,9.722222222222221,0.5555555555555556,heat,001
2021-04-06T06:00:00Z,12.569444444444445,0.2777777777777778,heat,001
2021-04-07T06:00:00Z,19.166666666666668,0.2777777777777778,heat,001
2021-04-08T06:00:00Z,17.15277777777778,0.2777777777777778,heat,001
2021-04-09T06:00:00Z,15.347222222222221,0.2777777777777778,heat,001
2021-04-10T06:00:00Z,10.48611111111111,0.2777777777777778,heat,001
2021-04-11T06:00:00Z,15.76388888888889,0.1388888888888889,heat,001
2021-04-12T06:00:00Z,22.291666666666668,0.06944444444444445,heat,001
2020-09-08T06:00:00Z,0,0,shoulder,001
